"prefix","occurrence","percentage"
8,3,0.000567220336739807
9,12,0.00226888134695923
10,30,0.00567220336739807
11,92,0.0173947569933541
12,264,0.049915389633103
13,503,0.0951039431267076
14,1016,0.192098620709215
15,1755,0.331823896992787
16,13093,2.4755386229781
17,7257,1.37210599457359
18,12066,2.2813601943675
19,25166,4.75822233146466
20,36291,6.86166441354144
21,38241,7.23035763242231
22,56859,10.7505270422296
23,48865,9.23907391826355
24,280652,53.0638406489001
25,362,0.0684445872999367
26,377,0.0712806889836357
27,59,0.0111553332892162
28,63,0.0119116270715359
29,119,0.0224997400240123
30,162,0.0306298981839496
31,3,0.000567220336739807
32,5585,1.05597519356394
