"prefix","occurrence","percentage"
0,2,0.00473866274937213
11,3,0.00710799412405819
12,226,0.53546889067905
16,2,0.00473866274937213
19,4,0.00947732549874425
20,14,0.0331706392456049
21,6,0.0142159882481164
22,8,0.0189546509974885
23,8,0.0189546509974885
24,28,0.0663412784912098
25,10,0.0236933137468606
26,28,0.0663412784912098
27,40,0.0947732549874425
28,120,0.284319764962328
29,1106,2.62048050040279
30,174,0.412263659195375
31,122,0.2890584277117
32,12996,30.7918305454201
33,565,1.33867222669763
34,344,0.815049992892006
35,415,0.983272520494716
36,1623,3.84542482111548
37,104,0.246410462967351
38,334,0.791356679145145
39,124,0.293797090461072
40,2422,5.73852058948965
41,238,0.563900867175283
42,315,0.74633938302611
43,68,0.161114533478652
44,1703,4.03497133109037
45,200,0.473866274937213
46,711,1.68459460740179
47,316,0.748708714400796
48,17795,42.1622518125385
49,14,0.0331706392456049
64,18,0.0426479647443491
